transport_id,destination_id,airport_id,direction,transport_type,title,summary,estimated_minutes_min,estimated_minutes_max,estimated_cost_min,estimated_cost_max,currency,service_area_summary,arrival_area_ids,arrival_living_cluster_ids,booking_type,reservation_required,luggage_friendly,stroller_friendly,large_luggage_note,service_hours,frequency_note,first_service_time,last_service_time,related_ticket_id,related_guide_id,official_url,booking_url,affiliate_url,google_map_url,naver_map_url,map_url,transport_tags,traveler_type_tags,display_order,status,created_at,updated_at,last_review_date,notes
AT-TYO-HND-ARR-001,,HND,arrival,transit,京急線,羽田機場直連京急線，可前往品川並轉乘 JR 等路線進入東京都心。,,,,,JPY,品川及可轉乘 JR／都營淺草線前往東京都心,,,,FALSE,TRUE,TRUE,一般可攜帶行李搭乘；尖峰時段車廂可能較擁擠。,,依京急線當日班次表為準,,,,,https://tokyo-haneda.com/en/access/train/index.html,,,,,,train;keikyu;public_transport,independent;family;budget,1,published,,,2026-07-19,羽田機場官方確認機場直接連接京急線。票價與班次請以營運公司當日公告為準。
AT-TYO-HND-ARR-002,,HND,arrival,transit,東京單軌電車,羽田機場直連東京單軌電車，可前往濱松町並轉乘 JR 山手線等路線。,,,,,JPY,濱松町及可轉乘 JR 前往東京都心,,,,FALSE,TRUE,TRUE,一般可攜帶行李搭乘；尖峰時段可能較擁擠。,,依東京單軌電車當日班次表為準,,,,,https://tokyo-haneda.com/en/access/train/index.html,,,,,,train;monorail;public_transport,independent;family;budget,2,published,,,2026-07-19,羽田機場官方確認機場直接連接東京單軌電車。票價與班次請以營運公司當日公告為準。
AT-TYO-HND-ARR-003,,HND,arrival,transit,機場巴士／利木津巴士,由羽田機場搭乘機場巴士前往東京都心主要車站、飯店及部分郊區。,,,,,JPY,東京都心主要車站、飯店及部分郊區,,,,,TRUE,TRUE,大型行李通常可放置於巴士行李艙；實際件數與尺寸限制依營運公司規定。,,路線與班次依目的地及營運公司而異,,,,,https://tokyo-haneda.com/en/access/bus/index.html,,,,,,bus;limousine_bus;public_transport,family;large_luggage;easy_transfer,3,published,,,2026-07-19,羽田機場官方列有 Express Bus / Route Bus。不同目的地票價、班次與預約方式不同。
AT-TYO-HND-ARR-004,,HND,arrival,charter,KKday 羽田機場私人接送,預約私人專車由羽田機場前往東京住宿地點，適合家庭、多人同行或攜帶大型行李。,,,,,JPY,東京市區及 KKday 商品頁可預約服務區域,,,,TRUE,TRUE,TRUE,可依車型與乘客人數選擇適合的行李容量；預訂前請確認車型限制。,依 KKday 商品與供應商可預約時段,,,,,,,https://www.kkday.com/en/trans/airport_transfer/airport/hnd-tokyo-haneda-international-airport,https://afflink.one/s/uAH81,,,,charter;private_transfer;kkday,family;group;large_luggage;convenience,10,published,,,2026-07-19,價格與可服務區域為動態商品資訊，因此不寫死 estimated_cost；如有 SoftPlanet KKday 聯盟連結，後續填入 affiliate_url。
AT-TYO-NRT-ARR-001,,NRT,arrival,transit,京成 Skyliner,成田機場往返日暮里、京成上野的對號特急，最快約 36 分鐘進入東京都心。,36,,,,JPY,日暮里、京成上野,,,,TRUE,TRUE,TRUE,列車提供行李放置空間；全車指定席。,,官方資料顯示每小時最多約 3 班，實際依當日時刻表,,,,,https://www.keisei.co.jp/keisei/tetudou/skyliner/us/index.php,https://www.keisei.co.jp/keisei/tetudou/skyliner/e-ticket/zht/,,,,,train;skyliner;reserved_seat;public_transport,independent;family;fast,1,published,,,2026-07-19,最快 36 分鐘為京成官方資訊；實際時間依上車航廈及班次而異。
AT-TYO-NRT-ARR-002,,NRT,arrival,transit,Access Express,經成田 Sky Access 線前往東京都心的通勤型列車，適合不想搭指定席特急的旅客。,,,,,JPY,依班次可前往東京都心及都營淺草線沿線,,,,FALSE,TRUE,TRUE,一般列車型態，沒有保證座位；攜帶大型行李時需注意尖峰擁擠。,,依京成及成田 Sky Access 當日時刻表,,,,,https://www.narita-airport.jp/en/access/train/,,,,,,train;access_express;public_transport,independent;budget,2,published,,,2026-07-19,成田機場官方 Rail 頁面列有 Narita Sky Access／Keisei／JR 路線。
AT-TYO-NRT-ARR-003,,NRT,arrival,transit,JR N'EX 成田特快,JR 成田特快可直達東京站，並服務新宿、澀谷、橫濱等主要區域；最快約 53 分鐘抵達東京站。,53,,,,JPY,東京站、新宿、澀谷、橫濱等 JR 主要站,,,,TRUE,TRUE,TRUE,列車設有大型行李放置空間。,,依 JR East 當日時刻表,,,,,https://www.jreast.co.jp/en/multi/nex/,,,,,,train;narita_express;nex;reserved_seat,independent;family;large_luggage,3,published,,,2026-07-19,JR East 官方資料：成田機場站至東京站最快 53 分鐘。
AT-TYO-NRT-ARR-004,,NRT,arrival,transit,Airport Bus TYO-NRT,成田機場往返東京站／銀座方向的低價機場巴士。,65,,1500,1500,JPY,東京站、銀座等指定站點,,,,,TRUE,TRUE,大型行李依巴士公司行李艙規定辦理。,,班次依官方時刻表,,,,,https://tyo-nrt.com/en,,,,,,bus;lcb;airport_bus;public_transport,budget;family;large_luggage,4,published,,,2026-07-19,"官方標示東京站—成田機場最快約 65 分鐘，單程 1,500 日圓；深夜早晨等特殊班次可能例外。"
AT-TYO-NRT-ARR-005,,NRT,arrival,transit,機場利木津巴士,由成田機場前往東京都心主要飯店、車站與 T-CAT 等地點，適合大型行李與希望少轉乘的旅客。,55,55,3100,3100,JPY,此列資料以 T-CAT 路線作為已驗證範例；其他目的地依官方路線與票價,,,,,TRUE,TRUE,大型行李可依巴士公司規定放置行李艙。,,依目的地與當日時刻表,,,,,https://www.tcat-hakozaki.co.jp/en/airport/narita.html,,,,,,bus;limousine_bus;tcat;public_transport,family;large_luggage;easy_transfer,5,published,,,2026-07-19,"55 分鐘與 3,100 日圓僅對應成田機場↔T-CAT 路線，不代表所有利木津巴士目的地。"
AT-TYO-NRT-ARR-010,,NRT,arrival,charter,KKday 成田機場私人接送,預約私人專車由成田機場前往東京住宿地點，適合家庭、多人同行或攜帶大型行李。,,,,,JPY,東京市區及 KKday 商品頁可預約服務區域,,,,TRUE,TRUE,TRUE,可依車型與乘客人數選擇適合的行李容量；預訂前請確認車型限制。,依 KKday 商品與供應商可預約時段,,,,,,,https://www.kkday.com/en/category/jp-tokyo/private-airport-transfers/list,https://linkgo.one/s/L7yNh,,,,charter;private_transfer;kkday,family;group;large_luggage;convenience,10,published,,,2026-07-19,暫以 KKday 東京私人機場接送分類頁作為 booking_url；價格與可服務區域為動態資訊，不寫死 estimated_cost。如有指定成田商品或聯盟連結，後續可替換 booking_url／affiliate_url。
