guide_id,module,parent_id,level,display_order,title,short_title,subtitle,description,icon,cover_image,button_text,page_type,content_slug,target_url,affiliate_group,affiliate_url,related_guides,estimated_reading_time,thread_url,youtube_url,tags,status,notes
FG001,Flight,,step,1,Google Flights,Google Flights,找到便宜日期,學會使用價格日曆、彈性日期與價格追蹤，先找出合理航班。,flight,google-flights.jpg,開始學習,guide,google-flights,https://www.google.com/travel/flights,,,FG002,10,,,google flights;機票;價格日曆,published,
FG002,Flight,,step,2,Skyscanner,Skyscanner,比較不同價格,比較航空公司與訂票平台價格，補查不同航班組合。,compare,skyscanner.jpg,開始學習,guide,skyscanner,https://www.skyscanner.com.tw/,,,FG003,8,,,skyscanner;比價,published,
FG003,Flight,,step,3,KAYAK,KAYAK,判斷是否值得買,利用價格趨勢與彈性日期，協助判斷是否適合現在購買。,trending_up,kayak.jpg,開始學習,guide,kayak,https://www.tw.kayak.com/,,,FG004,8,,,kayak;價格趨勢,published,
FG004,Flight,,step,4,MUMU陪你去訂票,MUMU陪你去訂票,選擇適合自己的訂票方式,比較訂票平台、航空公司官網與信用卡優惠後，選擇自己最安心的方式完成訂票。,shopping_cart,booking.jpg,開始訂票,index,mumu-booking,,,,FG100,0,,,訂票;平台;航空公司;信用卡,published,
FG005,Flight,FG004,booking_method,1,常見訂票平台,訂票平台,一次搜尋多家航空公司,適合想使用中文介面、比較不同航空公司，或利用平台優惠完成訂票的人。優點是操作方便、價格容易比較；注意售後、退改與行李加購通常要經過平台處理。,language,,選擇訂票平台,index,booking-platforms,,,,,0,,,訂票平台;OTA;機票,published,
FG006,Flight,FG004,booking_method,2,航空公司官網,航空公司官網,直接向航空公司完成訂票,適合重視行李加購、選位、里程與航班異動處理的人。優點是售後較直接；注意需要自行分別比較各家價格。,public,,選擇航空公司,index,airline-official-websites,,,,,0,,,航空公司;官網訂票,published,
FG007,Flight,FG004,booking_method,3,信用卡與點數優惠,信用卡優惠,付款前先確認可用優惠,適合想使用指定平台折扣、現金回饋、哩程或點數折抵的人。活動可能限定卡別、指定連結、登錄期限或付款幣別。,credit_card,,查看信用卡優惠,index,flight-card-offers,,,,,0,,,信用卡;點數;哩程;機票優惠,published,活動內容需定期更新，不在按鈕文案寫死折扣。
FG010,Flight,FG005,platform,1,Trip.com,Trip.com,亞洲航線與中文介面,適合亞洲航線、習慣繁體中文介面，以及想集中管理機票、住宿與交通的人。優點是產品完整、活動多；注意退改與售後通常由平台協助。,language,trip-logo.png,前往 Trip.com,external,,https://tw.trip.com/flights/,trip,https://www.trip.com/t/fl3G6g8IYV2,,0,,,trip;訂票平台;亞洲航線,published,正式上線前以 affiliate_url 覆蓋 target_url。
FG011,Flight,FG005,platform,2,Booking.com,Booking.com,熟悉 Booking.com 的旅行者,適合已經使用 Booking.com 管理住宿、歐美或跨國行程的人。優點是介面熟悉；注意機票服務條款與住宿會員優惠並不一定相同。,language,booking-logo.png,前往 Booking.com 機票,external,,https://www.booking.com/flights/,booking,https://linkgo.one/s/iUlLD,,0,,,booking;訂票平台;歐美航線,published,正式上線前以 affiliate_url 覆蓋 target_url。
FG012,Flight,FG005,platform,3,Agoda,Agoda,亞洲旅行與住宿使用者,適合經常使用 Agoda 訂住宿、希望機票與住宿一起搜尋的人。優點是帳戶與介面熟悉；注意 AgodaVIP 住宿優惠不一定適用機票。,language,agoda-logo.png,前往 Agoda 機票,external,,https://www.agoda.com/flights,agoda,https://afflink.one/s/PxVeE,,0,,,agoda;訂票平台;亞洲旅遊,published,正式上線前以 affiliate_url 覆蓋 target_url。
FG020,Flight,FG006,airline_category,1,台灣航空,台灣航空,台灣出發最方便,適合從台灣直飛日本、韓國、港澳、東南亞及長程航線；中文介面、客服與付款通常較方便。,flag_tw,,查看台灣航空,index,taiwan-airlines,,,,,0,,,台灣航空;台灣出發;直飛,published,
FG021,Flight,FG006,airline_category,2,日本航空,日本航空,日本與日本國內航線,適合台灣往返東京、大阪、名古屋、福岡、北海道、沖繩，以及需要銜接日本國內線的旅行。,flag_jp,,查看日本航空,index,japan-airlines,,,,,0,,,日本航空;日本自由行;日本國內線,published,
FG022,Flight,FG006,airline_category,3,韓國航空,韓國航空,首爾、釜山與濟州航線,適合前往首爾、釜山與濟州；傳統航空與廉價航空選擇多，需特別確認托運行李規則。,flag_kr,,查看韓國航空,index,korea-airlines,,,,,0,,,韓國航空;首爾;釜山;濟州,published,
FG023,Flight,FG006,airline_category,4,亞洲常見航空,亞洲常見航空,港澳與東南亞航線,適合香港、澳門、新加坡、馬來西亞、越南、泰國、菲律賓與亞洲樞紐轉機航線。,public,,查看亞洲常見航空,index,asia-airlines,,,,,0,,,亞洲航空;東南亞;港澳,published,
FG024,Flight,FG006,airline_category,5,歐美／中東常見航空,歐美／中東常見航空,長程與轉機航線,適合歐洲、北美、中東與大洋洲長程旅行，可比較杜拜、杜哈、伊斯坦堡與歐洲主要樞紐轉機。,public,,查看歐美／中東常見航空,index,global-airlines,,,,,0,,,歐洲;美洲;中東;長程航線,published,
FG030,Flight,FG020,airline,1,中華航空,中華航空,China Airlines,,flight,,前往中華航空官網,external,,https://www.china-airlines.com/tw/zh,,,,0,,,中華航空;China Airlines;傳統航空;官方網站,published,官方網站按鈕；網址異動時更新 target_url。
FG031,Flight,FG020,airline,2,長榮航空,長榮航空,EVA Air,,flight,,前往長榮航空官網,external,,https://www.evaair.com/zh-tw/,,,,0,,,長榮航空;EVA Air;傳統航空;官方網站,published,官方網站按鈕；網址異動時更新 target_url。
FG032,Flight,FG020,airline,3,星宇航空,星宇航空,STARLUX Airlines,,flight,,前往星宇航空官網,external,,https://www.starlux-airlines.com/zh-TW,,,,0,,,星宇航空;STARLUX Airlines;傳統航空;官方網站,published,官方網站按鈕；網址異動時更新 target_url。
FG033,Flight,FG020,airline,4,台灣虎航,台灣虎航,Tigerair Taiwan,,flight,,前往台灣虎航官網,external,,https://www.tigerairtw.com/zh-tw,,,,0,,,台灣虎航;Tigerair Taiwan;廉價航空;官方網站,published,官方網站按鈕；網址異動時更新 target_url。
FG034,Flight,FG021,airline,1,日本航空 JAL,日本航空 JAL,Japan Airlines,,flight,,前往日本航空 JAL官網,external,,https://www.jal.co.jp/tw/zhTW/,,,,0,,,日本航空 JAL;Japan Airlines;傳統航空;官方網站,published,官方網站按鈕；網址異動時更新 target_url。
FG035,Flight,FG021,airline,2,全日空 ANA,全日空 ANA,All Nippon Airways,,flight,,前往全日空 ANA官網,external,,https://www.ana.co.jp/zh/tw/,,,,0,,,全日空 ANA;All Nippon Airways;傳統航空;官方網站,published,官方網站按鈕；網址異動時更新 target_url。
FG036,Flight,FG021,airline,3,樂桃航空 Peach,樂桃航空 Peach,Peach Aviation,,flight,,前往樂桃航空 Peach官網,external,,https://www.flypeach.com/tw,,,,0,,,樂桃航空 Peach;Peach Aviation;廉價航空;官方網站,published,官方網站按鈕；網址異動時更新 target_url。
FG037,Flight,FG021,airline,4,捷星日本 Jetstar Japan,捷星日本 Jetstar Japan,Jetstar Japan,,flight,,前往捷星日本 Jetstar Japan官網,external,,https://www.jetstar.com/tw/zh/home,,,,0,,,捷星日本 Jetstar Japan;Jetstar Japan;廉價航空;官方網站,published,官方網站按鈕；網址異動時更新 target_url。
FG038,Flight,FG021,airline,5,Spring Japan,Spring Japan,Spring Japan,,flight,,前往Spring Japan官網,external,,https://jp.ch.com/,,,,0,,,Spring Japan;Spring Japan;廉價航空;官方網站,published,官方網站按鈕；網址異動時更新 target_url。
FG039,Flight,FG021,airline,6,Skymark Airlines,Skymark Airlines,Skymark Airlines,,flight,,前往Skymark Airlines官網,external,,https://www.skymark.co.jp/zh_TW/,,,,0,,,Skymark Airlines;Skymark Airlines;日本國內航空;官方網站,published,官方網站按鈕；網址異動時更新 target_url。
FG040,Flight,FG021,airline,7,AIRDO,AIRDO,AIRDO,,flight,,前往AIRDO官網,external,,https://www.airdo.jp/,,,,0,,,AIRDO;AIRDO;日本國內航空;官方網站,published,官方網站按鈕；網址異動時更新 target_url。
FG041,Flight,FG021,airline,8,Solaseed Air,Solaseed Air,Solaseed Air,,flight,,前往Solaseed Air官網,external,,https://www.solaseedair.jp/,,,,0,,,Solaseed Air;Solaseed Air;日本國內航空;官方網站,published,官方網站按鈕；網址異動時更新 target_url。
FG042,Flight,FG022,airline,1,大韓航空,大韓航空,Korean Air,,flight,,前往大韓航空官網,external,,https://www.koreanair.com/,,,,0,,,大韓航空;Korean Air;傳統航空;官方網站,published,官方網站按鈕；網址異動時更新 target_url。
FG043,Flight,FG022,airline,2,韓亞航空,韓亞航空,Asiana Airlines,,flight,,前往韓亞航空官網,external,,https://flyasiana.com/,,,,0,,,韓亞航空;Asiana Airlines;傳統航空;官方網站,published,官方網站按鈕；網址異動時更新 target_url。
FG044,Flight,FG022,airline,3,濟州航空,濟州航空,Jeju Air,,flight,,前往濟州航空官網,external,,https://www.jejuair.net/,,,,0,,,濟州航空;Jeju Air;廉價航空;官方網站,published,官方網站按鈕；網址異動時更新 target_url。
FG045,Flight,FG022,airline,4,德威航空,德威航空,T'way Air,,flight,,前往德威航空官網,external,,https://www.twayair.com/,,,,0,,,德威航空;T'way Air;廉價航空;官方網站,published,官方網站按鈕；網址異動時更新 target_url。
FG046,Flight,FG022,airline,5,真航空,真航空,Jin Air,,flight,,前往真航空官網,external,,https://www.jinair.com/,,,,0,,,真航空;Jin Air;廉價航空;官方網站,published,官方網站按鈕；網址異動時更新 target_url。
FG047,Flight,FG022,airline,6,釜山航空,釜山航空,Air Busan,,flight,,前往釜山航空官網,external,,https://www.airbusan.com/,,,,0,,,釜山航空;Air Busan;廉價航空;官方網站,published,官方網站按鈕；網址異動時更新 target_url。
FG048,Flight,FG022,airline,7,易斯達航空,易斯達航空,Eastar Jet,,flight,,前往易斯達航空官網,external,,https://www.eastarjet.com/,,,,0,,,易斯達航空;Eastar Jet;廉價航空;官方網站,published,官方網站按鈕；網址異動時更新 target_url。
FG049,Flight,FG022,airline,8,Aero K,Aero K,Aero K,,flight,,前往Aero K官網,external,,https://www.aerok.com/,,,,0,,,Aero K;Aero K;廉價航空;官方網站,published,官方網站按鈕；網址異動時更新 target_url。
FG050,Flight,FG022,airline,9,Air Premia,Air Premia,Air Premia,,flight,,前往Air Premia官網,external,,https://www.airpremia.com/,,,,0,,,Air Premia;Air Premia;混合型航空;官方網站,published,官方網站按鈕；網址異動時更新 target_url。
FG051,Flight,FG023,airline,1,國泰航空,國泰航空,Cathay Pacific,,flight,,前往國泰航空官網,external,,https://www.cathaypacific.com/,,,,0,,,國泰航空;Cathay Pacific;傳統航空;官方網站,published,官方網站按鈕；網址異動時更新 target_url。
